NET_ODA,POP,GNP_PCAP,INF_MORT,RIGHTS_REV,RIGHTS_INV,country,year
0.10558943563216054,-3.0219677794025115,-0.5456969543170256,0.4271627331670811,-1.0986122886681098,-0.6091275515451011,"Congo, Rep.",1988
0.053253203284500776,-3.011248152111769,-0.5709718911126487,0.4395529233034999,-1.102669089363724,-0.6321430389469977,"Congo, Rep.",1989
1.0693357812174415,-2.811295093853994,-0.5072323751998653,-1.5052922379958866,0.8210658362795104,1.3144303334497618,Costa Rica,1984
1.2191473784530007,-2.8083310554537664,-0.41164034965381413,-1.4928200513566305,0.8062507504943699,1.3066844600967111,Costa Rica,1985
0.7253276387507256,-2.805363543731621,-0.21821656940520395,-1.4694017861325006,0.7875197137883065,1.2859384286134017,Costa Rica,1986
0.8506750823055401,-2.8027216844718557,-0.07457735940533941,-1.4628226100693955,0.7772632136211175,1.2594981275077421,Costa Rica,1987
0.6263216404427178,-2.800227737090622,0.01861735439995115,-1.4574830774936245,0.7731898882334817,1.2626746253564902,Costa Rica,1988
0.739995441163595,-2.7972038446526737,0.04421374797758491,-1.4536267243704584,0.7691330875378674,1.2396591379545936,Costa Rica,1989
-0.8310609146007101,-1.4433631969053138,-0.7236115264255328,0.19921595979494447,-0.35758916006213565,-0.3903177587886636,Cote d'Ivoire,1984
-0.9713100112617118,-1.4243495316060026,-0.8568457864114927,0.204872908832357,-0.37240424584727627,-0.39806363214171403,Cote d'Ivoire,1985
-0.7278538423556181,-1.404550048142593,-0.9001065954405147,0.2095621889502099,-0.39113528255333957,-0.4188096636250236,Cote d'Ivoire,1986
-0.4592385363995375,-1.3848194277026826,-0.8488978300091072,0.2141979658835038,-0.4013917827205285,-0.445249964730683,Cote d'Ivoire,1987
0.043647475447142633,-1.364162775874462,-0.7390683472975652,0.21752588069223638,-0.6931471805599453,-0.5290848438715648,Cote d'Ivoire,1988
-0.11250335486243628,-1.3426359444388807,-0.645934929586104,0.22367983233831248,-0.4095219088037787,-0.4650889542838317,Cote d'Ivoire,1989
-0.025460679131551887,-1.86455173346414,-0.37994213758583406,-0.14303107632015238,0.6540117516163442,0.6212831528898164,Dominican Republic,1984
-0.029837278629638222,-1.8614172082750082,-0.4424120083205679,-0.14734768475699506,0.6391966658312037,0.6135372795367658,Dominican Republic,1985
